"name","start_date","end_date","room_type","price","link"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Superior King Room","5,399","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Superior King Room","6,199","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Superior King Room","5,799","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Deluxe King Room","5,599","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Deluxe King Room","6,399","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Luxury King Room","5,899","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Luxury King Room","6,699","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Luxury King Room","7,699","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Luxury King Room","8,899","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
"Novotel Goa Candolim","Mon 9 Aug 2021","Tue 10 Aug 2021","Luxury King Room","6,299","https://www.booking.com/hotel/in/novotel-goa-shrem-resort.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdICVgEaGyIAQGYAQm4ARfIAQzYAQPoAQH4AQOIAgGoAgO4Asygw4gGwAIB0gIkNTgyNjdhZDQtOTFhNi00NmYxLTk5YmQtNGFiMDg4N2JlY2Yx2AIE4AIB&sid=96d69d1dc3d9fed4104c2384c20602ab&all_sr_blocks=70836704_90885765_2_41_0&checkin=2021-08-09&checkout=2021-08-10&dest_id=4127&dest_type=region&group_adults=2&group_children=0&hapos=3&highlighted_blocks=70836704_90885765_2_41_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=70836704_90885765_2_41_0__604687&srepoch=1628516457&srpvid=b5da60343c2101b1&ucfs=1&from=searchresults;hptv=do"
